iter	Passed	Remaining
0	1	184
1	3	164
2	4	155
3	9	220
4	10	205
5	12	192
6	13	185
7	15	178
8	17	173
9	18	167
10	20	162
11	22	162
12	23	158
13	25	154
14	26	151
15	28	148
16	29	145
17	31	142
18	32	139
19	34	137
20	37	141
21	40	142
22	41	140
23	43	137
24	44	134
25	46	132
26	48	129
27	49	127
28	52	127
29	53	125
30	55	123
31	57	121
32	58	119
33	60	116
34	61	114
35	63	112
36	64	110
37	72	118
38	75	118
39	77	116
40	79	114
41	81	112
42	83	110
43	85	108
44	86	106
45	88	104
46	91	102
47	93	100
48	98	102
49	100	100
50	102	98
51	103	95
52	105	93
53	107	91
54	108	89
55	111	87
56	112	85
57	114	82
58	116	81
59	119	79
60	122	78
61	131	80
62	137	80
63	142	79
64	149	80
65	152	78
66	161	79
67	164	77
68	170	76
69	173	74
70	176	71
71	178	69
72	181	66
73	183	64
74	191	63
75	193	61
76	196	58
77	199	56
78	204	54
79	206	51
80	209	49
81	211	46
82	214	43
83	218	41
84	221	39
85	224	36
86	227	34
87	232	31
88	237	29
89	240	26
90	242	24
91	245	21
92	250	18
93	252	16
94	255	13
95	264	11
96	266	8
97	268	5
98	270	2
99	273	0
